index,Name,French Page,English Page,Image,Milk
26,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,http://en.wikipedia.org/wiki/Bleu_des_Causses,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/4e875a4aa0ead907f2082b8838ca2f52,Cow Milk
27,Mâconnais,http://fr.wikipedia.org/wiki/M%C3%A2connais_%28fromage%29,http://en.wikipedia.org/wiki/M%C3%A2connais_cheese,,Goat Milk
28,Soumaintrain,http://fr.wikipedia.org/wiki/Soumaintrain_%28fromage%29,,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/68375e80b7479407ca8fc50b6870e2b4,Cow Milk
29,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/9829fd7240102fb426d65264161a9390,Cow Milk
30,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,,,Cow Milk
31,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,http://en.wikipedia.org/wiki/Rigotte_de_Condrieu,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/effedffa1f7b7dc1cf2672f6394a6ead,Goat Milk
32,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,http://en.wikipedia.org/wiki/Perail,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/1496ec8cc33475ce6893d99cba700c47,Sheep Milk
33,Neufchâtel,http://fr.wikipedia.org/wiki/Neufch%C3%A2tel_%28fromage%29,http://en.wikipedia.org/wiki/Neufch%C3%A2tel_cheese,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/d073e0e35c9b4974ba70fca0ebda3e7e,Cow Milk
34,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,http://en.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/3707507d17a39d7e957b2d2c0ed2608c,Cow Milk
35,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,http://en.wikipedia.org/wiki/Crottin_de_Chavignol,https://public.opendatasoft.com/api/v2/catalog/datasets/frenchcheese/files/f509e3db9bd687657a477a6302c709c7,Goat Milk
36,Rien,,,,
